"","clusters","regression_value","after_Jan2010_count","after_Jan2014_count","after_Jun2014_count","after_Jan2015_count","weighted_regression_value","ratings_avg","users_sum"
"1084",3,20,2,1,1,0,11.35,5,2.27
"3009",4,119,32,8,6,1,246.4633333,3.492053746,70.57833333
"1883",380,27,8,4,1,0,43.19333334,3.186524038,13.555
"2901",99,16,4,4,4,0,68.17666666,3.830508475,17.79833333
"1473",15,30,6,3,2,1,29.875,4.68627451,6.375
"2664",25,44,7,1,1,0,48.195,4.019599666,11.99
"157",2,213,67,25,22,11,242.6283333,3.018328461,80.385
"1232",10,189,42,23,17,8,192.9483333,4.615804792,41.80166667
"440",140,3,3,2,1,0,2.81,1,2.81
"2338",15,45,7,0,0,0,98.81166669,4.698232824,21.03166667
"2500",25,258,71,19,12,0,307.96,3.139139003,98.10333333
"2927",15,48,10,4,3,2,42.93,4.351748606,9.865
"121",2,12,3,0,0,0,24.8,3.846949328,6.446666667
"2814",1,24,5,0,0,0,16.34166666,4.026694045,4.058333333
"1785",19,25,5,1,0,0,23.625,5,4.725
"3472",15,18,4,1,0,0,15.04333333,4.43974422,3.388333333
"2532",461,10,4,1,1,1,55.66,3.642670157,15.28
"3264",19,18,6,6,5,2,68.89,3.822974473,18.02
"1296",204,15,5,2,2,0,30.53999999,2.656037107,11.49833333
"172",69,20,4,2,1,1,17.725,5,3.545
"2357",35,21,6,5,4,1,17.56333333,2.797451553,6.278333333
"445",15,16,4,1,1,0,14.005,3.759731544,3.725
"1682",22,32,8,3,2,2,107.285,4.257059718,25.20166667
"3033",32,185.5,48,19,17,7,314.6983333,3.654962157,86.10166667
"1649",15,20,4,3,2,2,18.245,4.238095238,4.305
"1065",15,31.5,4,0,0,0,55.85999998,3.835660334,14.56333333
"1558",4,211.5,40,1,1,0,258.1133334,4.652227463,55.48166667
"1759",46,66,18,7,6,4,135.705,3.334002129,40.70333333
"1277",305,28,6,2,1,0,37.17166667,4.120266026,9.021666667
"2866",507,13.5,3,1,1,1,20.1,4.170124481,4.82
"3516",22,13.5,1,1,0,0,6.705,4.624137931,1.45
"59",4,21,6,1,0,0,46.70666666,2.172571517,21.49833333
"1315",4,148,29,11,7,3,408.3616665,3.853619792,105.9683333
"245",2,156,43,17,14,10,140.8983333,2.628700249,53.6
"2468",32,391.5,83,15,9,4,604.6299998,4.227344232,143.0283333
"1757",3,87,24,5,3,0,159.3516667,2.869736171,55.52833333
"1530",2,20,2,0,0,0,32.13333334,4.088210348,7.86
"1478",30,378,73,53,53,23,344.8183333,4.281684603,80.53333333
"2107",4,3,3,2,1,0,2.63,1,2.63
"2539",10,24.5,1,0,0,0,14.76333333,3.124514991,4.725
"589",3,171.5,45,16,8,2,311.5883333,3.476707641,89.62166667
"1553",15,312,94,22,13,10,700.6633334,3.330280825,210.3916667
"1375",4,59.5,15,6,3,1,180.5916666,3.672926341,49.16833333
"410",132,7.5,3,0,0,0,22.11333334,3.176442423,6.961666667
"2579",3,696.5,190,68,50,19,1098.533333,3.614527866,303.9216667
"20",2,270,48,17,12,4,549.39,4.68303286,117.315
"1581",46,52.5,12,9,7,4,65.84666667,3.6449857,18.065
"2261",252,42,10,3,3,3,82.60000001,3.136907399,26.33166667
"1077",19,88,20,0,0,0,71.07166665,4.109772552,17.29333333
"2734",4,8,1,0,0,0,20.365,3.604424779,5.65
"733",31,35,9,4,3,1,51.72499998,3.430418923,15.07833333
"1890",4,9,5,1,1,0,17.49833332,1.702448516,10.27833333
"747",202,12,3,2,2,2,16.33333333,3.769230769,4.333333333
"909",3,20,2,0,0,0,16.96666667,4.516415262,3.756666667
"571",24,123,34,4,2,0,146.955,2.984261829,49.24333333
"171",3,98,21,5,4,3,117.365,2.954188866,39.72833333
"1972",15,15,3,3,3,3,101.6666667,5,20.33333333
"2674",3,22.5,4,0,0,0,22.08166667,2.740227508,8.058333333
"3089",3,16,3,0,0,0,15.30666667,4,3.826666667
"313",111,36,5,2,1,0,85.49833332,4.276342114,19.99333333
"2629",4,12,4,2,2,1,10.71833333,2.807071148,3.818333333
"3356",413,12,4,1,1,0,11.77,2.909765142,4.045
"1614",19,532,133,55,46,20,669.3066667,3.555602777,188.24
"3344",34,3,4,1,0,0,3.265,1,3.265
"2414",25,168,33,9,5,2,183.1583334,3.867227364,47.36166667
"3111",4,48,15,3,3,2,132.7966667,2.972948771,44.66833333
"1360",4,9,2,0,0,0,48.08,4,12.02
"1655",354,60,16,9,8,4,58.94000001,3.773367478,15.62
"3504",3,24.5,6,3,3,1,26.14,3.00229709,8.706666667
"231",3,217,51,13,8,6,193.4566667,3.618379625,53.465
"112",19,252,45,12,8,2,280.6566667,4.590643913,61.13666667
"1880",25,66,21,5,5,2,97.39666667,2.902453561,33.55666667
"759",205,39,12,8,8,4,76.14,3.455411845,22.035
"2507",140,16,3,2,2,0,10.43,3.711743772,2.81
"1354",47,90,18,9,7,2,80.66499999,4.390330189,18.37333333
"1885",2,40.5,8,4,2,1,117.3333333,4.240963855,27.66666667
"1821",98,67.5,13,6,5,2,80.55666667,3.790901961,21.25
"2942",515,10.5,3,1,1,0,9.525,3.278829604,2.905
"1293",19,15,3,0,0,0,17.18833334,2.849682233,6.031666667
"2485",4,13.5,3,0,0,0,11.49833333,4.56585043,2.518333333
"923",13,60,11,0,0,0,106.6266667,3.658279963,29.14666667
"1975",109,17.5,8,3,3,2,42.24499999,2.682506085,15.74833333
"662",121,10.5,2,0,0,0,13.41666666,2.872947894,4.67
"1775",25,14,2,1,1,1,5.82,3.197802198,1.82
"3386",10,72,14,5,5,5,145.3333333,4.152380952,35
"1071",268,10.5,3,0,0,0,16.29166667,3.17679558,5.128333333
"1338",19,10,3,1,1,0,9.518333331,3.11226158,3.058333333
"1151",19,112,17,7,5,2,180.5116667,4.245335528,42.52
"38",15,50,9,4,4,4,45.84666666,4.92005008,9.318333333
"180",2,32,9,5,4,1,57.01000002,3.689569626,15.45166667
"548",7,66,20,6,4,1,101.3783333,3.097570912,32.72833333
"936",209,20,7,1,0,0,68.96500001,4.033040936,17.1
"1870",4,30,12,4,4,4,49.54666667,2.897465887,17.1
"1765",131,7.5,3,1,1,1,12.66666667,2.375,5.333333333
"2248",420,56,14,6,6,3,50.75499999,3.449592207,14.71333333
"1286",56,27,2,0,0,0,32.43833333,4.613178478,7.031666667
"351",110,136,28,23,21,14,218.12,3.74005487,58.32
"3378",561,20,5,4,3,1,18.145,3.84835631,4.715
"1311",30,7.5,3,1,1,0,6.345,2.328440367,2.725
"2553",3,7.5,2,1,1,0,15.905,4.072983355,3.905
"2314",3,14,5,4,4,0,12.82833334,2.536914964,5.056666667
"2832",503,148,30,9,7,1,292.8216667,4.004125074,73.13
"1438",129,255.5,72,57,30,13,341.9,3.440964825,99.36166667
"2511",3,12,4,4,3,0,50.98166666,2.6,19.60833333
"2970",359,7.5,3,2,2,1,29.67,2.487007544,11.93
"76",39,6,4,4,4,3,4.904999999,1.256081946,3.905
"1250",297,81,26,8,7,3,115.465,3.162269491,36.51333333
"106",50,108.5,28,8,8,5,308.1533333,3.59502236,85.71666667
"776",15,87.5,19,1,0,0,135.4733333,3.298595893,41.07
"1176",4,12,3,1,1,0,16.77333333,3.68914956,4.546666667
"1497",4,161,41,0,0,0,199.35,3.732447107,53.41
"585",135,21,5,2,1,0,30.26666668,2.63493906,11.48666667
"3399",176,7.5,3,0,0,0,14.52,2.806701031,5.173333333
"2448",4,69,24,9,6,0,133.9216667,2.500949298,53.54833333
"2891",92,15,3,3,2,1,14.05,5,2.81
"2078",3,100,23,16,16,4,142.7233333,4.158201418,34.32333333
"212",19,21,5,4,2,1,37.05833333,3.843560933,9.641666667
"1568",7,16,4,1,0,0,58.52000001,3.566842747,16.40666667
"403",73,13.5,3,1,0,0,15.28666667,4.720535255,3.238333333
"2438",19,1044,185,51,34,15,1213.736667,3.838145232,316.23
"2068",402,184.5,37,11,10,3,215.6766666,4.524527114,47.66833333
"3201",10,72,17,15,10,5,164.7416666,4.47323166,36.82833333
"871",222,132,24,10,10,5,160.7016667,3.855452037,41.68166667
"1820",4,16,3,0,0,0,10.625,2.833333333,3.75
"2602",239,15,3,3,2,1,14.05,5,2.81
"2526",458,9,2,1,0,0,7.984999999,3.125244618,2.555
"2844",389,15,3,2,0,0,93.99166665,5,18.79833333
"533",4,9,3,2,1,1,8.715,3,2.905
"1918",32,2871,582,274,211,103,3779.103333,4.666481445,809.84
"317",47,666,127,45,29,10,775.2116669,4.559621606,170.0166667
"1518",1,14,2,0,0,0,25.18666667,3.847250509,6.546666667
"1517",337,15,4,0,0,0,9.584999999,2.766233766,3.465
"1126",259,77.5,30,13,11,7,121.2,2.534151101,47.82666667
"955",4,927,180,23,23,23,1102.333333,4.427041499,249
"2920",2,45.5,10,1,0,0,39.94666666,3.225407078,12.385
"211",3,31.5,6,2,1,0,22.73,4.313092979,5.27
"2999",25,33,9,1,1,0,34.71666666,3.045321637,11.4
"1083",4,77,20,6,4,2,265.0366666,3.651229536,72.58833333
"1211",15,531,95,16,11,4,628.0600002,4.500877874,139.5416667
"2936",15,21,4,2,2,1,12.52333333,2.851612903,4.391666667
"3519",31,20,4,0,0,0,16.4,5,3.28
"1580",3,21,4,2,1,0,21.745,3.191536204,6.813333333
"3194",10,96,19,14,13,6,108.5533333,4.075079772,26.63833333
"602",2,94.5,23,18,15,3,94.83833333,3.693081516,25.68
"1034",3,42,13,4,3,2,68.735,3.26299549,21.065
"3419",15,520,102,27,23,11,681.7766666,4.050399034,168.3233333
"896",26,15,3,0,0,0,44.375,5,8.875
"2776",2,94.5,25,10,10,10,143.6666667,3.814159292,37.66666667
"289",105,35,9,5,4,1,47.93499999,3.247995483,14.75833333
"1281",306,6,3,1,1,1,21,2.644836272,7.94
"1782",98,84,22,12,12,12,82.99999999,3.192307692,26
"2216",3,196,42,13,12,6,203.8283334,4.007110092,50.86666667
"2697",161,42,14,5,3,1,58.945,3.454483298,17.06333333
"913",2,24,5,2,1,0,18.065,4.059550562,4.45
"3059",206,15,3,0,0,0,51.63,3,17.21
"591",2,10.5,1,0,0,0,3.973333332,4,0.993333333
"622",25,72,12,2,2,1,126.945,4.026591246,31.52666667
"3154",109,7.5,3,2,0,0,10.76333334,2.872775801,3.746666667
"3287",10,252,53,17,12,7,309.3883333,4.080204853,75.82666667
"1897",2,10.5,3,2,2,1,9.898333332,3.301278488,2.998333333
"2346",139,31.5,8,0,0,0,31.83833333,3.531706415,9.015
"3552",10,7.5,3,0,0,0,6.065,2.70155902,2.245
"1309",4,12,3,0,0,0,97.57999998,3.79787234,25.69333333
"1406",2,206.5,45,18,16,4,192.2083333,3.319373687,57.905
"1619",125,60,11,7,4,1,49.45,5,9.89
"3421",160,45.5,13,5,4,2,49.26333332,3.349348442,14.70833333
"1331",2,3,3,1,0,0,2.966666667,1,2.966666667
"834",112,25,9,1,1,1,15.82166667,1.807846125,8.751666667
"490",150,13.5,3,3,1,1,14.86,4.353515625,3.413333333
"145",61,13.5,2,2,1,0,11.045,4.621338912,2.39
"459",4,16,3,0,0,0,65.12,4,16.28
"461",4,56,13,0,0,0,93.40833332,3.461704756,26.98333333
"2765",19,268,62,48,32,15,292.4349999,3.707183604,78.88333333
"3169",46,24,3,3,2,1,18.05,3.752598753,4.81
"1330",32,156,33,11,6,2,231.095,4.031195488,57.32666667
"1028",259,45,17,3,2,1,96.22333334,2.475728988,38.86666667
"1989",139,12,4,4,3,2,15.14333333,3.382725242,4.476666667
"745",46,17.5,7,3,3,2,14.765,2.061670933,7.161666667
"1884",13,168,45,14,14,7,467.6016668,2.916737707,160.3166667
"102",48,48,13,7,6,3,72.70333334,3.536727744,20.55666667
"2522",3,9,0,0,0,0,9.264999999,3,3.088333333
"1571",171,12,2,0,0,0,16.93333333,4,4.233333333
"2260",421,12,3,3,3,1,11.335,4.033807829,2.81
"2932",97,4.5,3,0,0,0,12.31833333,1.584691252,7.773333333
"199",2,15,5,4,4,2,23.875,3.78968254,6.3
"3397",32,27,5,2,2,2,105.7933333,4.21655374,25.09
"1889",2,56,13,5,3,3,56.035,2.413221361,23.22
"2800",119,51,18,11,6,0,91.28833334,2.788565319,32.73666667
"2984",15,4.5,3,1,1,0,4.264999999,1.649903288,2.585
"2779",2,31.5,7,0,0,0,23.35,4.712411705,4.955
"1332",10,64,15,11,11,8,80.52666668,4.15478545,19.38166667
"2732",25,24.5,7,1,0,0,28.96166666,3.711448099,7.803333333
"2645",10,27,6,6,6,6,60.99999998,4.575,13.33333333
"1654",15,30,9,8,5,0,56.50666667,3.105615096,18.195
"704",19,38.5,5,0,0,0,72.60666667,3.594389439,20.2
"2122",60,18,6,2,1,1,44.78833333,3.122226095,14.345
"988",3,30,9,4,2,2,68.52166667,2.927025488,23.41
"2021",308,45.5,12,6,3,2,59.45500001,3.269153226,18.18666667
"2972",177,21,6,0,0,0,16.69833333,3.648579752,4.576666667
"2601",410,49,16,7,6,2,51.38999998,3.443600625,14.92333333
"470",60,12,5,1,1,0,17.49833333,2.600693584,6.728333333
"1279",2,85.5,17,9,8,2,123.6616667,4.708827823,26.26166667
"1481",25,60,15,0,0,0,47.21166665,3.139421478,15.03833333
"2521",60,22.5,4,3,3,1,43.30833334,4.744385613,9.128333333
"3331",552,112.5,22,7,7,4,151.5833333,4.755555556,31.875
"527",90,72,17,8,3,2,107.4783333,4.187467532,25.66666667
"1168",282,13.5,0,0,0,0,7.441666665,5,1.488333333
"109",51,128,31,18,16,8,228.485,3.8020634,60.095
"1980",388,10,4,2,1,1,13.175,2.5296,5.208333333
"2187",112,4.5,3,0,0,0,3.460000001,1.310606061,2.64
"254",93,4.5,2,0,0,0,3.745,2.146131805,1.745
"1070",267,15,2,1,0,0,57.86666665,5,11.57333333
"1308",313,17.5,5,2,1,0,15.52,3.352051836,4.63
"1548",4,67.5,17,10,7,4,77.46833336,4.265485914,18.16166667
"2371",4,633.5,156,62,50,20,930.0633333,3.713050016,250.485
"2460",32,311.5,81,25,22,12,391.6033335,3.845217249,101.8416667
"460",144,20,5,2,2,0,17.27,3.894024803,4.435
"2456",22,12,5,3,0,0,11.12833333,2.457489879,4.528333333
"1831",32,294,81,36,30,11,375.4033333,3.549409855,105.765
"3428",4,6,2,2,0,0,10.25666667,2,5.128333333
"9",4,15,2,1,1,1,9.966666665,5,1.993333333
"1905",112,60,16,9,6,1,130.3516667,2.961304002,44.01833333
"2076",125,10.5,3,2,2,0,9.87,3.752851711,2.63
"1040",22,284,59,37,37,12,322.16,4.097337629,78.62666667
"990",251,52.5,20,10,10,4,76.29,2.800660793,27.24
"875",9,292,68,36,28,12,319.9333334,3.724196803,85.90666667
"608",32,7.5,2,0,0,0,2.04,1.5,1.36
"3342",19,12.5,0,0,0,0,9.913333332,1.673607203,5.923333333
"837",219,324,65,13,11,5,346.6183333,4.191865035,82.68833333
"120",25,10,1,0,0,0,15.65,2.804659498,5.58
"986",97,188,40,22,17,8,227.6383333,4.066180411,55.98333333
"1688",154,12.5,3,0,0,0,12.66333333,2.424377792,5.223333333
"1622",65,1066.5,203,84,70,25,1449.21,4.309939578,336.2483333
"1036",1,12,4,0,0,0,25.12,3.06216985,8.203333333
"1950",24,13.5,3,0,0,0,49.58666665,4.932360743,10.05333333
"1231",293,21,6,2,1,1,19.39166667,2.883519207,6.725
"620",3,632,148,45,34,16,1197.91,4.288588562,279.325
"2922",32,1516,331,113,83,41,2063.596667,4.062558035,507.955
"2242",140,15,5,4,4,0,14.395,3.035852373,4.741666667
"2588",88,196,37,0,0,0,239.6583334,4.020325999,59.61166667
"1029",15,37.5,12,2,0,0,58.7,2.875336762,20.415
"2375",10,33,8,2,0,0,21.06166667,2.741809503,7.681666667
"1611",348,24,13,6,5,0,23.19166668,1.621039143,14.30666667
"3454",566,13.5,3,0,0,0,11.705,4.700803213,2.49
"265",12,10.5,3,1,0,0,9.63,3.633962264,2.65
"1789",62,6,3,2,1,1,5.439999999,1.996330275,2.725
"46",28,40.5,9,6,1,1,40.38666667,4.624427481,8.733333333
"982",24,115.5,31,10,6,0,120.01,3.713755222,32.315
"1056",3,85.5,16,4,3,1,192.045,4.686691613,40.97666667
"584",33,24,7,4,4,2,28.97333333,3.259092613,8.89
"1513",54,69,20,6,6,4,113.0766667,3.481245831,32.48166667
"2278",15,24.5,6,4,4,1,37.04333333,3.813658202,9.713333333
"89",34,12,3,2,2,2,33,4.304347826,7.666666667
"1929",15,27.5,4,2,0,0,40.25666668,2.706937129,14.87166667
"1711",361,14,4,2,1,1,26.68666666,2.461112819,10.84333333
"1395",324,12,7,4,2,0,25.93999999,1.791642684,14.47833333
"2611",107,20,5,0,0,0,39.95833333,4.072532699,9.811666667
"2418",3,66.5,16,15,13,3,126.3883333,2.848294772,44.37333333
"310",13,21,5,2,2,2,49.01666665,3.858567305,12.70333333
"1522",339,36,8,2,2,2,73.73,4.280406386,17.225
"3267",4,21,2,0,0,0,32.855,3.579625931,9.178333333
"3382",4,13.5,2,0,0,0,17.75833334,5,3.551666667
"420",62,77,22,13,12,4,117.89,3.414297437,34.52833333
"2264",1,36,12,3,3,2,57.02999999,2.985342872,19.10333333
"2933",60,33,10,3,1,1,55.83666666,2.927217125,19.075
"716",142,340,68,24,18,9,303.4016666,3.865481802,78.49
"1781",3,77,15,0,0,0,78.945,3.213500678,24.56666667
"1678",4,10.5,2,1,0,0,8.078333334,1.811962617,4.458333333
"246",10,12,5,3,2,2,21.36,3.369085174,6.34
"1680",4,24,5,0,0,0,31.05333334,2.949968334,10.52666667
"1453",331,160,36,10,7,2,292.14,4.064368029,71.87833333
"163",67,15,6,2,2,0,18.88833333,2.742075974,6.888333333
"2333",430,25,3,1,1,1,24.56666667,5,4.913333333
"1932",3,30,6,6,6,4,57.70833335,5,11.54166667
"1143",85,35,9,6,5,0,34.41833333,3.941782783,8.731666667
"1353",97,10.5,3,1,0,0,40.34833334,3.525411388,11.445
"862",4,462,125,51,37,16,731.9250002,3.894737309,187.9266667
"2421",4,48,12,3,3,3,179.3333333,4.075757576,44
"785",3,42,3,0,0,0,67.58166665,4.17858615,16.17333333
"2658",41,45,9,5,5,1,76.49833335,4.76278925,16.06166667
"1072",15,17.5,4,0,0,0,15.88,3.415053763,4.65
"582",25,10,4,2,2,0,19.62833334,3.418577649,5.741666667
"3367",559,14,3,0,0,0,8.72,3.280250784,2.658333333
"3274",4,12.5,4,2,1,1,11.345,3.045637584,3.725
"1923",3,130.5,28,17,14,9,160.4066667,4.2767508,37.50666667
"1776",25,49,14,8,7,3,47.29666668,3.499136868,13.51666667
"178",71,25,7,1,1,1,35,5,7
"230",32,116,26,0,0,0,138.1933333,4.350718858,31.76333333
"2683",102,24,8,2,1,1,34.58666666,3.151883354,10.97333333
"2889",2,28,8,2,1,1,72.68833333,3.723787568,19.52
"1152",32,44,9,2,1,0,124.2033333,4.481987129,27.71166667
"2115",3,45.5,12,0,0,0,41.62000001,3.318538206,12.54166667
"2708",15,24.5,6,0,0,0,18.875,4.011689692,4.705
"2707",47,30,10,6,4,1,42.86666668,2.244132275,19.10166667
"1398",3,17.5,4,2,2,2,15.56,3.353448276,4.64
"2059",398,40,8,3,3,2,69.69500001,4.041070738,17.24666667
"2077",381,36,11,7,4,2,51.71166668,4.163021602,12.42166667
"273",15,99,20,5,4,2,84.45833335,4.452987698,18.96666667
"2035",15,30,9,3,1,1,47.57000001,3.253391086,14.62166667
"297",25,87.5,19,7,6,2,92.56666668,3.336737759,27.74166667
"1986",19,692,118,28,23,12,678.4833332,3.924742586,172.8733333
"718",25,87.5,24,8,6,5,94.35333334,3.832904536,24.61666667
"2164",65,7.5,3,3,2,2,7.809999999,2.688468158,2.905
"1901",2,128,27,12,10,2,181.9433334,3.533452015,51.49166667
"609",4,22.5,2,0,0,0,35.6,5,7.12
"1594",15,54,12,0,0,0,103.7483334,3.987764254,26.01666667
"971",2,18,6,4,4,2,13.455,2.178947368,6.175
"687",3,76.5,11,4,4,2,99.25000001,4.8062954,20.65
"1526",107,160,34,6,4,2,244.6966667,4.077032018,60.01833333
"3013",25,44,10,0,0,0,29.10833334,3.726264135,7.811666667
"2420",444,6,3,1,1,0,7.113333334,1.458148275,4.878333333
"2040",3,434,98,25,18,5,720.91,3.858951369,186.815
"2453",2,49,14,10,8,1,72.33500001,3.23767251,22.34166667
"3256",3,232.5,81,27,25,8,290.7333333,2.687620368,108.175
"569",2,10,3,2,1,1,6.005000001,2.203669725,2.725
"1577",4,20,4,0,0,0,41.26,4.449317038,9.273333333
"619",4,15,4,1,1,1,29.22333335,2.860358891,10.21666667
"2985",2,60,12,4,3,1,64.27,4.005609224,16.045
"2874",508,36,5,4,4,2,20.43,4.247401247,4.81
"2592",15,24,5,1,1,0,38.37666668,3.385180829,11.33666667
"2291",134,15,2,0,0,0,17.38333334,5,3.476666667
"2048",15,208,52,25,18,7,345.61,3.846236599,89.85666667
"2606",4,7.5,3,1,1,0,6.73,2.644400786,2.545
"3275",5,276,59,16,14,6,416.5616665,4.156541551,100.2183333
"6",7,18,9,5,5,1,31.24500001,2.673559612,11.68666667
"2033",4,21,5,2,2,0,16.52833334,3.411420709,4.845
"2020",2,1116.5,308,85,62,30,1586.526667,3.642749447,435.53
"1560",3,20,4,0,0,0,20.685,4.790042455,4.318333333
"252",91,24.5,7,5,4,3,23.335,3.426578561,6.81
"1814",20,66.5,15,7,5,2,103.12,3.690325659,27.94333333
"565",171,8,4,1,1,1,8.553333333,1.878477306,4.553333333
"2681",19,272,55,22,13,8,379.0233333,3.795357065,99.865
"37",23,7.5,3,0,0,0,6.333333333,2.369077307,2.673333333
"3530",251,10,3,1,0,0,37.47833333,2.546947559,14.715
"2679",251,56,13,2,0,0,202.91,4.519992575,44.89166667
"492",4,25,9,2,1,1,21.84833334,2.598414272,8.408333333
"3445",90,24.5,1,0,0,0,18.98,3.698603443,5.131666667
"2355",392,584,109,0,0,0,827.1133335,3.813310179,216.9016667
"284",60,57,19,7,6,3,110.4066667,3.287706586,33.58166667
"3152",32,93,28,7,6,3,99.40499999,3.009081277,33.035
"1694",97,25,4,1,1,0,19.525,5,3.905
"2805",4,9,3,0,0,0,29.41999999,2.465363128,11.93333333
"3281",15,872,198,81,58,22,1227.051667,3.903663839,314.3333333
"1639",353,126,34,20,13,6,159.8033333,3.490934246,45.77666667
"2578",32,66.5,10,1,1,1,81.99333335,4.021909745,20.38666667
"1404",177,24.5,7,2,1,0,60.74999999,3.300733496,18.405
"415",88,12,4,0,0,0,28.34333333,2.851441985,9.94
"1039",4,45,9,2,2,1,94.95666666,4.100914129,23.155
"3216",10,108,27,11,11,11,191.3333333,3.610062893,53
"961",9,135,28,14,14,5,185.985,4.468287018,41.62333333
"692",7,59.5,15,6,4,2,46.965,3.152013423,14.9
"2941",12,42,12,3,3,2,66.75666667,3.458894646,19.3
"61",33,17.5,4,2,2,0,11.43,3,3.81
"3075",7,7.5,3,2,1,0,6.054999999,2.486652977,2.435
"2761",216,21,4,1,1,1,32.01333334,3.76775206,8.496666667
"2434",335,152,30,12,10,3,246.31,3.85753439,63.85166667
"1480",3,1004,214,81,64,30,1462.563333,3.839202355,380.955
"2320",59,455,86,18,15,4,568.9733332,4.607879925,123.4783333
